Mzvalue,row ID,RT,Sample.0,Sample.1,Sample.2,Sample.3,Sample.4,Sample.5,Sample.6,Sample.7,Sample.8,Sample.9,Sample.10,Sample.11,Sample.12,Sample.13,Sample.14,Sample.15,Sample.15a,Sample.16,Sample.17,Sample.18,Sample.19,Sample.20,Sample.21a,Blank.1,Blank.2,Blank.3,Blank.4,Blank.5
100.6705825,3940,0.187449616,21612.34375,6664.010742,20046.43945,29151.45313,4900.684082,21990.55469,9627.576172,9222.767578,37004.97656,25728.55078,1910.799805,31377.04688,32271.81641,15396.76367,28076.58789,19182.98438,20906.97461,4022.040771,2117.939697,2161.164063,25191.81836,502,1113.30188,48496.78125,33265.92578,17895.95313,29724.02344,8731.367188
187.7756034,3920,14.44069191,23134.29297,20361.71094,25554.92383,36308.51563,14234.13672,31429.20508,18973.14648,22908.87109,36427.44531,27997.65234,4855.945313,32688.53516,36301.51172,21588.12695,33219.15234,26724.95898,22581.48047,12558.0625,6925.54248,8104.634766,28630.19727,3330.79126,5226.877441,52545.50391,43192.04297,38243.79297,40123.77734,23201.50195
296.9087541,3915,11.83285696,33226.375,26780.45508,30567.1875,42595.76172,20308.80273,34107.94922,26255.64648,31559.98633,40809.36719,31621.13086,8901.589844,37691.90234,41789.47656,29083.96289,37740.13672,30026.45313,29313.56836,14354.22168,10155.46973,12244.17676,34102.32813,6811.714355,10838.66895,54657.59766,48528.91016,41782.01563,43928.78516,32409.19531
535.8938171,3924,13.91199376,22442.98633,13336.13672,25848.25391,34750.33203,8629.057617,28306.73633,14133.0166,18630.39648,38121.56641,27172.93164,2790.298828,34864.49609,37051.73828,23015.94141,33743.91406,25528.20313,22031.08789,10169.75879,4123.728027,4015.935059,28564.54883,1167.53186,1909.854614,52566.48438,40502.46875,31252.26758,37370.23828,14850.50391
257.5028507,3914,9.749913979,35919.78516,28523.67188,32594.08203,45616.23047,23240.86133,36199.37891,28419.75781,34753.20313,43944.96484,36320.55078,16087.32813,42030.14844,44234.22266,30127.57617,39947.84375,33171.04688,38907.63281,24672.07227,16361.28027,15283.77051,35545.87109,9020.371094,14952.25977,54594.92188,53136.17578,46193.88672,45731.94922,37270.42969
102.0340724,3912,12.66137284,42449.23047,34361.51172,35303.05859,46928.49609,27955.15234,40131.24609,31181.01758,39746.92969,44851.01172,37819.49219,23129.00586,44087.1875,47010.625,35149.31641,43036.48828,36527.11719,40302.04297,29817.43945,25400.99805,25014.4043,36376.34766,17682.26367,23333.23633,57038.5,53667.72656,48559.58203,48442.1875,42343.41016
226.6698594,3913,5.406382811,34838.03125,26454.89453,30942.77148,43766.06641,23595.94531,34457.79297,27071.87695,30246.87891,43098.56641,31315.00195,11154.09082,39329.09766,41189.80469,27540.26367,39009.14453,31068.50195,30427.83594,14915.64453,10589.75977,13377.57227,32932.80859,7469.017578,11632.78125,53510.89453,51335.44141,42722.28906,45735.62109,34126.80469
25.64176251,3911,14.23113814,40451.76563,33722.19531,35949.14453,45098.40625,29881.51758,41235.59766,30639.57813,36822.76953,43651.60156,36913.33203,24537.73242,44124,47489.92188,38050.53906,40668.73438,34747.53906,39586.18359,28922.47656,25261.90039,24047.56836,36557.94922,17211.66406,24162.14063,55950.66016,55084.02734,49612.30078,49554.5625,40805.69141
6.618795179,1087,0.36505265,11221.33008,2390.678711,6631.166504,14904.68652,2255.142578,8652.02832,3095.325195,3169.394775,15599.50391,9839.233398,1538.613037,11068.52734,12658.28027,4672.544922,12002.70801,6776.579102,13784.5166,2030.69397,1614.077637,1786.001709,12113.80762,1358.505371,1592.891235,16367.96094,16029.89258,4892.80127,10088.08984,2278.141357
419.0276887,1079,12.62193184,9213.692383,8180.879883,10646.73535,19344.63281,5452.852051,13697.36426,8545.201172,9348.365234,18522.79688,11037.41602,2105.784668,8327.24707,9795.753906,7755.470703,9364.204102,13251.14453,9848.147461,5206.374512,2540.182861,2727.345215,10423.80078,1756.801758,2119.608154,19766.78711,22030.64453,17730.3125,20222.91602,10582.14453
